productname;date;farmprice;atlantaretail;chicagoretail;losangelesretail;newyorkretail;averagespread
Red Leaf Lettuce;2016-10-23;$0.35;$1.32;$1.50;$1.34;$1.81;326.43%
Oranges;2016-10-23;$0.51;$1.37;$1.44;$1.32;$1.70;185.78%
Iceberg Lettuce;2016-10-23;$0.33;$1.16;$1.06;$1.34;$1.41;276.52%
Honeydews;2016-10-23;$1.38;$3.87;$3.65;$3.66;$3.99;174.82%
Green Leaf Lettuce;2016-10-23;$0.38;$1.32;$1.43;$1.34;$1.74;283.55%
Flame Grapes;2016-10-23;$0.96;$2.49;$2.01;$2.06;$2.24;129.17%
Celery;2016-10-23;$0.47;$1.70;$1.31;$1.89;$1.74;253.19%
Cauliflower;2016-10-23;$0.81;$2.58;$2.76;$2.88;$3.24;253.70%
Carrots;2016-10-23;$0.29;$0.95;$0.82;$0.99;$1.14;236.21%
Cantaloupe;2016-10-23;$0.95;$2.65;$2.70;$2.68;$2.62;180.26%
Broccoli Crowns;2016-10-23;$0.55;$2.38;$2.08;$1.59;$1.50;243.18%
Broccoli Bunches;2016-10-23;$0.70;$1.76;$1.28;$1.08;$1.72;108.57%
Tomatoes;2016-10-16;$0.52;$1.48;$1.61;$1.47;$1.84;207.69%
Strawberries;2016-10-16;$1.15;$2.69;$2.32;$2.87;$4.32;165.22%
Romaine Lettuce;2016-10-16;$0.36;$1.61;$1.77;$1.34;$1.91;360.42%
Red Leaf Lettuce;2016-10-16;$0.35;$1.32;$1.27;$1.34;$1.75;305.71%
Iceberg Lettuce;2016-10-16;$0.34;$1.16;$1.36;$1.34;$1.49;293.38%
Honeydews;2016-10-16;$1.50;$3.87;$3.65;$3.66;$3.99;152.83%
Green Leaf Lettuce;2016-10-16;$0.40;$1.32;$1.22;$1.34;$1.60;242.50%
Flame Grapes;2016-10-16;$0.96;$2.24;$2.44;$2.49;$2.31;146.88%
Celery;2016-10-16;$0.33;$1.55;$1.31;$1.89;$1.72;390.15%
Cauliflower;2016-10-16;$0.93;$2.58;$2.73;$2.78;$3.21;203.76%
Carrots;2016-10-16;$0.29;$0.95;$0.82;$0.99;$1.25;245.69%
Cantaloupe;2016-10-16;$0.80;$2.32;$2.63;$2.44;$2.75;216.88%
Broccoli Crowns;2016-10-16;$0.54;$1.37;$2.12;$1.57;$1.63;209.72%
Broccoli Bunches;2016-10-16;$0.69;$1.72;$1.45;$1.08;$1.72;116.30%
Tomatoes;2016-10-09;$0.58;$1.48;$1.51;$1.67;$1.96;185.34%
Strawberries;2016-10-09;$1.00;$2.62;$2.37;$2.87;$3.24;177.50%
Romaine Lettuce;2016-10-09;$0.33;$1.49;$1.77;$1.34;$1.69;376.52%
Red Leaf Lettuce;2016-10-09;$0.36;$1.32;$1.50;$1.34;$1.68;305.56%
Iceberg Lettuce;2016-10-09;$0.34;$1.16;$1.11;$1.34;$1.49;275.00%
Honeydews;2016-10-09;$1.42;$3.87;$3.65;$3.66;$3.99;167.08%
Green Leaf Lettuce;2016-10-09;$0.39;$1.32;$1.43;$1.34;$1.62;266.03%
Flame Grapes;2016-10-09;$0.96;$2.44;$1.56;$2.12;$2.11;114.32%
Celery;2016-10-09;$0.29;$1.74;$1.49;$1.67;$1.74;472.41%
Cauliflower;2016-10-09;$0.90;$3.05;$2.61;$2.78;$3.24;224.44%
Carrots;2016-10-09;$0.29;$0.95;$0.82;$0.99;$1.14;236.21%
Cantaloupe;2016-10-09;$0.76;$2.29;$2.81;$2.69;$2.63;242.76%
Broccoli Crowns;2016-10-09;$0.46;$2.16;$1.98;$1.42;$1.63;290.76%
Broccoli Bunches;2016-10-09;$0.62;$1.50;$1.45;$1.08;$1.72;131.85%
Tomatoes;2016-10-02;$0.58;$1.42;$1.59;$1.47;$1.72;167.24%
Strawberries;2016-10-02;$1.19;$2.74;$2.49;$2.18;$2.99;118.49%
Romaine Lettuce;2016-10-02;$0.34;$1.32;$1.97;$1.34;$1.69;364.71%
Red Leaf Lettuce;2016-10-02;$0.32;$1.32;$1.80;$1.34;$1.66;378.13%
Iceberg Lettuce;2016-10-02;$0.32;$1.16;$1.11;$1.34;$1.66;311.72%
Honeydews;2016-10-02;$1.33;$3.37;$3.24;$3.41;$1.60;118.42%
Green Leaf Lettuce;2016-10-02;$0.35;$1.32;$1.73;$1.34;$1.60;327.86%
Flame Grapes;2016-10-02;$0.96;$1.94;$1.61;$2.07;$2.36;107.81%
Celery;2016-10-02;$0.28;$1.53;$1.49;$1.69;$1.67;469.64%
Cauliflower;2016-10-02;$0.76;$2.58;$2.48;$2.78;$3.24;264.47%
Carrots;2016-10-02;$0.29;$0.95;$0.82;$0.99;$1.14;236.21%
Cantaloupe;2016-10-02;$0.72;$2.14;$2.48;$2.09;$2.63;224.31%
Broccoli Crowns;2016-10-02;$0.43;$1.62;$1.69;$1.74;$1.40;275.00%
Tomatoes;2016-09-25;$0.50;$1.42;$1.64;$1.42;$1.71;209.50%
Strawberries;2016-09-25;$1.00;$2.37;$1.79;$2.04;$3.11;132.75%
Romaine Lettuce;2016-09-25;$0.33;$1.74;$1.66;$1.34;$1.69;387.12%
Red Leaf Lettuce;2016-09-25;$0.31;$1.32;$1.50;$1.34;$1.75;376.61%
Iceberg Lettuce;2016-09-25;$0.33;$1.14;$1.39;$1.34;$1.24;287.12%
Honeydews;2016-09-25;$0.83;$3.37;$3.24;$3.16;$3.49;299.40%
Green Leaf Lettuce;2016-09-25;$0.38;$1.32;$1.43;$1.34;$1.68;279.61%
Flame Grapes;2016-09-25;$0.96;$2.31;$2.11;$2.19;$1.99;123.96%
Celery;2016-09-25;$0.29;$1.50;$1.49;$1.69;$1.72;451.72%
Cauliflower;2016-09-25;$0.81;$2.58;$2.48;$3.18;$2.86;242.59%
Carrots;2016-09-25;$0.29;$0.95;$0.82;$0.99;$1.14;236.21%
Cantaloupe;2016-09-25;$0.52;$2.14;$2.31;$2.51;$2.42;350.96%
Broccoli Crowns;2016-09-25;$0.47;$1.99;$1.83;$1.39;$1.58;261.17%
Tomatoes;2016-09-18;$0.48;$1.42;$1.59;$1.54;$1.71;226.04%
Strawberries;2016-09-18;$0.88;$2.37;$2.41;$2.62;$3.49;209.38%
Romaine Lettuce;2016-09-18;$0.32;$1.74;$1.87;$1.34;$2.01;443.75%
Red Leaf Lettuce;2016-09-18;$0.31;$1.32;$1.27;$1.34;$1.67;351.61%
Iceberg Lettuce;2016-09-18;$0.32;$1.19;$1.24;$1.34;$1.69;326.56%
Honeydews;2016-09-18;$0.67;$3.99;$2.87;$3.41;$3.49;413.43%
Green Leaf Lettuce;2016-09-18;$0.36;$1.32;$1.22;$1.34;$1.60;280.56%
Flame Grapes;2016-09-18;$0.97;$2.06;$1.86;$2.24;$1.99;110.05%
Celery;2016-09-18;$0.28;$1.50;$1.41;$1.94;$1.62;477.68%
Cauliflower;2016-09-18;$0.91;$2.46;$2.16;$2.78;$3.24;192.31%
Carrots;2016-09-18;$0.29;$0.95;$0.90;$0.99;$1.52;275.86%
Cantaloupe;2016-09-18;$0.40;$2.25;$2.17;$1.49;$1.91;388.75%
Broccoli Crowns;2016-09-18;$0.64;$1.81;$1.51;$1.74;$1.28;147.66%
Tomatoes;2016-09-11;$0.56;$1.42;$1.49;$1.47;$1.96;183.04%
Strawberries;2016-09-11;$0.88;$2.37;$1.98;$2.99;$3.32;202.84%
Red Leaf Lettuce;2016-09-11;$0.32;$1.32;$1.50;$1.34;$1.52;343.75%
Romaine Lettuce;2016-09-11;$0.33;$1.49;$1.87;$1.34;$1.60;377.27%
Iceberg Lettuce;2016-09-11;$0.35;$1.16;$0.99;$1.34;$1.31;242.86%
Honeydews;2016-09-11;$0.71;$3.12;$3.24;$3.10;$3.74;364.79%
Green Leaf Lettuce;2016-09-11;$0.39;$1.32;$1.43;$1.34;$1.49;257.69%
Flame Grapes;2016-09-11;$0.97;$2.14;$1.94;$1.82;$2.11;106.44%
Celery;2016-09-11;$0.30;$1.55;$1.41;$1.92;$1.72;450.00%
Cauliflower;2016-09-11;$0.77;$2.58;$2.16;$2.73;$2.74;231.49%
Carrots;2016-09-11;$0.29;$0.95;$0.90;$0.99;$1.07;237.07%
Cantaloupe;2016-09-11;$0.44;$1.94;$2.12;$2.49;$2.29;402.27%
Broccoli Crowns;2016-09-11;$0.68;$1.99;$1.49;$1.57;$1.49;140.44%
Tomatoes;2016-09-04;$0.70;$1.32;$1.49;$1.47;$1.91;121.07%
Thompson Grapes;2016-09-04;$0.94;$2.14;$1.81;$1.84;$2.49;120.21%
Strawberries;2016-09-04;$0.88;$2.50;$2.49;$2.87;$3.61;225.85%
Romaine Lettuce;2016-09-04;$0.36;$1.49;$1.87;$1.34;$1.85;354.86%
Red Leaf Lettuce;2016-09-04;$0.31;$1.32;$1.50;$1.34;$1.58;362.90%
Iceberg Lettuce;2016-09-04;$0.36;$1.16;$0.99;$1.34;$1.61;254.17%
Honeydews;2016-09-04;$0.79;$3.89;$3.24;$3.56;$3.24;340.82%
Green Leaf Lettuce;2016-09-04;$0.35;$1.32;$1.43;$1.34;$1.49;298.57%
Flame Grapes;2016-09-04;$0.97;$2.44;$2.02;$1.72;$2.36;120.10%
Celery;2016-09-04;$0.29;$1.24;$1.29;$1.89;$1.66;424.14%
Cauliflower;2016-09-04;$0.62;$2.58;$2.04;$2.73;$2.99;316.94%
Carrots;2016-09-04;$0.29;$1.21;$0.90;$0.99;$1.07;259.48%
Cantaloupe;2016-09-04;$0.52;$2.06;$2.12;$2.49;$1.65;300.00%
Broccoli Crowns;2016-09-04;$0.44;$1.44;$1.39;$1.52;$1.53;234.09%
Broccoli Bunches;2016-09-04;$0.53;$1.66;$1.27;$1.08;$1.82;175.00%
Tomatoes;2016-08-28;$0.56;$1.42;$1.49;$1.47;$1.79;175.45%
Thompson Grapes;2016-08-28;$0.97;$2.24;$1.64;$1.37;$2.11;89.69%
Strawberries;2016-08-28;$1.00;$2.62;$2.24;$2.87;$3.61;183.50%
Romaine Lettuce;2016-08-28;$0.35;$1.39;$1.87;$1.34;$1.69;349.29%
Red Leaf Lettuce;2016-08-28;$0.31;$1.22;$1.50;$1.34;$1.70;364.52%
Plums;2016-08-28;$1.00;$1.84;$1.64;$1.99;$1.99;86.50%
Nectarines;2016-08-28;$0.62;$2.40;$2.49;$1.87;$1.99;252.82%
Iceberg Lettuce;2016-08-28;$0.38;$1.16;$1.36;$1.34;$1.61;259.87%
Honeydews;2016-08-28;$0.72;$3.12;$2.74;$2.91;$3.24;317.01%
Green Leaf Lettuce;2016-08-28;$0.34;$1.22;$1.43;$1.34;$1.56;308.09%
Flame Grapes;2016-08-28;$1.02;$2.24;$1.51;$1.12;$2.11;71.08%
Celery;2016-08-28;$0.29;$1.43;$1.54;$1.87;$1.67;461.21%
Cauliflower;2016-08-28;$0.59;$2.45;$2.78;$2.73;$3.24;374.58%
Carrots;2016-08-28;$0.29;$0.95;$0.90;$0.99;$1.18;246.55%
Cantaloupe;2016-08-28;$0.44;$1.93;$1.49;$2.21;$2.74;375.57%
Broccoli Crowns;2016-08-28;$0.36;$1.79;$1.87;$1.49;$1.53;363.89%
Broccoli Bunches;2016-08-28;$0.47;$1.33;$1.37;$0.83;$1.99;193.62%
Avocados;2016-08-28;$1.16;$1.09;$1.74;$1.49;$1.50;25.43%
Tomatoes;2016-08-21;$0.42;$1.32;$1.39;$1.34;$1.91;254.76%
Thompson Grapes;2016-08-21;$1.00;$2.35;$1.28;$1.84;$1.99;86.50%
Strawberries;2016-08-21;$1.31;$2.57;$2.24;$2.50;$3.61;108.40%
Romaine Lettuce;2016-08-21;$0.28;$1.39;$1.87;$1.34;$1.69;461.61%
Red Leaf Lettuce;2016-08-21;$0.26;$1.22;$1.50;$1.34;$1.63;447.12%
Iceberg Lettuce;2016-08-21;$0.33;$1.16;$1.36;$1.34;$1.61;314.39%
Honeydews;2016-08-21;$0.79;$3.12;$2.49;$2.91;$3.74;287.97%
Green Leaf Lettuce;2016-08-21;$0.27;$1.22;$1.43;$1.34;$1.49;407.41%
Celery;2016-08-21;$0.28;$1.43;$1.54;$1.87;$1.67;481.25%
Cauliflower;2016-08-21;$0.65;$2.45;$2.43;$2.73;$3.11;312.31%
Carrots;2016-08-21;$0.29;$0.95;$0.90;$0.99;$1.18;246.55%
Cantaloupe;2016-08-21;$0.38;$1.72;$1.99;$1.59;$1.99;379.61%
Broccoli Crowns;2016-08-21;$0.32;$1.79;$1.87;$1.67;$1.65;445.31%
Broccoli Bunches;2016-08-21;$0.44;$1.66;$1.32;$0.83;$1.99;229.55%
Avocados;2016-08-21;$1.18;$1.21;$1.74;$1.42;$1.54;25.21%
Tomatoes;2016-08-14;$0.32;$1.32;$1.49;$1.47;$1.86;379.69%
Thompson Grapes;2016-08-14;$1.00;$2.14;$1.33;$1.72;$2.36;88.75%
Strawberries;2016-08-14;$1.44;$2.69;$2.59;$2.62;$3.49;97.74%
Romaine Lettuce;2016-08-14;$0.30;$1.44;$1.82;$1.34;$1.54;411.67%
Red Leaf Lettuce;2016-08-14;$0.26;$1.22;$1.50;$1.34;$1.63;447.12%
Plums;2016-08-14;$0.78;$1.55;$1.84;$1.71;$0.99;95.19%
Oranges;2016-08-14;$0.36;$1.49;$1.44;$1.17;$1.49;288.19%
Nectarines;2016-08-14;$0.62;$2.17;$1.76;$1.46;$0.99;157.26%
Iceberg Lettuce;2016-08-14;$0.32;$1.16;$1.36;$1.34;$1.44;314.06%
Honeydews;2016-08-14;$0.71;$3.12;$2.74;$2.79;$3.24;318.66%
Green Leaf Lettuce;2016-08-14;$0.27;$1.22;$1.43;$1.34;$1.58;415.74%
Celery;2016-08-14;$0.29;$1.48;$1.59;$1.69;$1.67;454.31%
Cauliflower;2016-08-14;$0.98;$2.46;$2.81;$2.80;$3.24;188.52%
Carrots;2016-08-14;$0.29;$0.95;$0.90;$0.99;$1.07;237.07%
Cantaloupe;2016-08-14;$0.38;$2.31;$2.24;$1.95;$1.99;458.55%
Broccoli Crowns;2016-08-14;$0.33;$1.64;$1.82;$1.67;$1.74;420.45%
Broccoli Bunches;2016-08-14;$0.44;$1.55;$1.32;$0.83;$1.86;215.91%
Avocados;2016-08-14;$1.18;$1.36;$1.74;$1.49;$2.50;50.21%
Tomatoes;2016-08-07;$0.30;$1.32;$1.23;$1.47;$1.81;385.83%
Thompson Grapes;2016-08-07;$1.00;$2.71;$1.26;$1.49;$2.49;98.75%
Strawberries;2016-08-07;$1.31;$2.87;$2.24;$2.87;$3.34;116.03%
Romaine Lettuce;2016-08-07;$0.29;$1.69;$1.94;$1.34;$1.69;474.14%
Red Leaf Lettuce;2016-08-07;$0.26;$1.28;$1.55;$1.34;$1.75;469.23%
Oranges;2016-08-07;$0.34;$1.49;$1.31;$1.37;$1.64;327.21%
Nectarines;2016-08-07;$0.56;$1.99;$1.66;$1.62;$1.68;210.27%
Iceberg Lettuce;2016-08-07;$0.31;$1.21;$1.36;$1.34;$1.49;335.48%
Honeydews;2016-08-07;$0.88;$2.74;$3.24;$3.35;$3.36;260.51%
Green Leaf Lettuce;2016-08-07;$0.27;$1.28;$1.48;$1.34;$1.60;427.78%
Celery;2016-08-07;$0.31;$1.50;$1.42;$1.94;$1.74;432.26%
Cauliflower;2016-08-07;$0.64;$2.71;$2.41;$2.98;$3.36;347.66%
Carrots;2016-08-07;$0.30;$0.95;$0.90;$0.99;$1.07;225.83%
Cantaloupe;2016-08-07;$0.46;$2.81;$2.24;$2.35;$2.23;423.37%
Broccoli Crowns;2016-08-07;$0.32;$1.84;$1.47;$1.49;$1.40;384.38%
Avocados;2016-08-07;$1.18;$1.01;$1.74;$1.56;$1.87;30.93%
Tomatoes;2016-07-31;$0.32;$1.32;$1.23;$1.47;$1.86;359.38%
Thompson Grapes;2016-07-31;$1.00;$2.06;$1.84;$1.72;$1.99;90.25%
Strawberries;2016-07-31;$1.13;$2.83;$2.36;$2.62;$3.49;150.00%
Romaine Lettuce;2016-07-31;$0.30;$1.51;$1.91;$1.34;$1.69;437.50%
Red Leaf Lettuce;2016-07-31;$0.28;$1.22;$1.37;$1.34;$1.52;386.61%
Plums;2016-07-31;$0.73;$1.39;$1.76;$1.99;$2.99;178.42%
Peaches;2016-07-31;$0.54;$1.85;$1.76;$1.49;$2.99;274.54%
Oranges;2016-07-31;$0.35;$1.49;$1.31;$1.32;$1.90;330.00%
Nectarines;2016-07-31;$0.54;$2.17;$1.61;$1.49;$2.99;282.41%
Iceberg Lettuce;2016-07-31;$0.32;$1.21;$1.36;$1.34;$1.74;341.41%
Honeydews;2016-07-31;$0.88;$3.37;$2.62;$3.41;$3.99;280.40%
Green Leaf Lettuce;2016-07-31;$0.29;$1.32;$1.32;$1.34;$1.49;371.55%
Flame Grapes;2016-07-31;$1.02;$2.06;$1.89;$2.59;$1.99;109.07%
Celery;2016-07-31;$0.29;$1.50;$1.42;$1.94;$1.99;490.52%
Cauliflower;2016-07-31;$0.62;$2.33;$2.81;$2.46;$3.24;337.10%
Carrots;2016-07-31;$0.30;$0.95;$0.90;$0.99;$1.14;231.67%
Cantaloupe;2016-07-31;$0.46;$2.32;$1.74;$2.49;$2.65;400.00%
Broccoli Crowns;2016-07-31;$0.34;$1.60;$1.72;$1.46;$1.65;372.79%
Avocados;2016-07-31;$1.20;$1.21;$1.74;$1.53;$2.17;38.54%
Tomatoes;2016-07-24;$0.42;$1.32;$1.16;$1.47;$1.81;242.86%
Strawberries;2016-07-24;$1.16;$2.74;$2.36;$2.50;$2.74;122.84%
Romaine Lettuce;2016-07-24;$0.31;$2.05;$1.91;$1.34;$1.69;463.71%
Red Leaf Lettuce;2016-07-24;$0.26;$1.32;$1.36;$1.34;$1.75;454.81%
Plums;2016-07-24;$0.55;$1.55;$1.76;$1.87;$0.99;180.45%
Oranges;2016-07-24;$0.35;$1.48;$1.29;$1.24;$1.63;302.86%
Nectarines;2016-07-24;$0.54;$1.72;$1.46;$1.62;$1.34;184.26%
Iceberg Lettuce;2016-07-24;$0.42;$1.21;$1.11;$1.34;$1.49;206.55%
Honeydews;2016-07-24;$1.04;$2.92;$2.99;$2.95;$3.99;208.89%
Green Leaf Lettuce;2016-07-24;$0.28;$1.32;$1.31;$1.34;$1.60;397.32%
Flame Grapes;2016-07-24;$1.02;$2.01;$1.59;$1.99;$2.99;110.29%
Celery;2016-07-24;$0.30;$1.50;$1.41;$1.94;$1.74;449.17%
Cauliflower;2016-07-24;$0.66;$2.71;$2.41;$2.73;$3.49;329.55%
Carrots;2016-07-24;$0.30;$1.10;$0.87;$0.99;$1.07;235.83%
Cantaloupe;2016-07-24;$0.46;$2.29;$2.24;$1.78;$2.29;367.39%
Broccoli Crowns;2016-07-24;$0.36;$2.12;$1.82;$1.67;$1.70;407.64%
Broccoli Bunches;2016-07-24;$0.48;$1.64;$1.49;$1.08;$1.66;205.73%
Avocados;2016-07-24;$1.21;$1.36;$1.74;$1.53;$1.87;34.30%
Strawberries;2016-07-17;$1.13;$1.91;$1.94;$2.31;$2.86;99.56%
Romaine Lettuce;2016-07-17;$0.31;$1.51;$1.91;$1.34;$1.69;420.16%
Red Leaf Lettuce;2016-07-17;$0.29;$1.32;$1.36;$1.34;$1.59;383.62%
Peaches;2016-07-17;$0.54;$2.27;$1.49;$1.12;$1.50;195.37%
Nectarines;2016-07-17;$0.54;$2.17;$1.61;$1.12;$1.50;196.30%
Iceberg Lettuce;2016-07-17;$0.27;$1.24;$1.44;$1.34;$1.74;433.33%
Honeydews;2016-07-17;$1.21;$3.67;$3.12;$3.85;$3.99;202.27%
Green Leaf Lettuce;2016-07-17;$0.34;$1.32;$1.31;$1.34;$1.45;298.53%
Carrots;2016-07-17;$0.30;$0.95;$0.90;$0.99;$1.07;225.83%
Cantaloupe;2016-07-17;$0.58;$2.26;$1.99;$2.05;$2.62;284.48%
Broccoli Bunches;2016-07-17;$0.50;$1.44;$1.49;$1.08;$1.86;193.50%
Avocados;2016-07-17;$1.28;$1.44;$1.66;$1.53;$1.72;24.02%
Tomatoes;2016-07-10;$0.34;$1.32;$1.49;$1.34;$1.79;336.76%
Strawberries;2016-07-10;$1.00;$2.49;$1.94;$2.37;$2.74;138.50%
Romaine Lettuce;2016-07-10;$0.36;$1.51;$1.91;$1.34;$1.69;347.92%
Red Leaf Lettuce;2016-07-10;$0.27;$1.32;$1.52;$1.34;$1.70;444.44%
Nectarines;2016-07-10;$0.54;$2.30;$1.61;$1.49;$1.68;227.78%
Iceberg Lettuce;2016-07-10;$0.53;$1.24;$1.44;$1.34;$1.74;171.70%
Honeydews;2016-07-10;$1.29;$3.74;$3.37;$3.56;$4.32;190.50%
Green Leaf Lettuce;2016-07-10;$0.28;$1.32;$1.46;$1.34;$1.56;407.14%
Flame Grapes;2016-07-10;$1.05;$2.44;$1.74;$2.87;$2.36;124.05%
Celery;2016-07-10;$0.34;$1.53;$1.49;$1.94;$1.86;401.47%
Cauliflower;2016-07-10;$0.68;$2.76;$2.93;$2.73;$3.11;323.90%
Carrots;2016-07-10;$0.30;$0.95;$0.90;$0.99;$1.07;225.83%
Cantaloupe;2016-07-10;$0.67;$2.32;$1.79;$2.30;$2.41;229.10%
Broccoli Crowns;2016-07-10;$0.42;$1.74;$1.72;$1.67;$1.73;308.33%
Broccoli Bunches;2016-07-10;$0.54;$1.44;$1.33;$0.83;$1.86;152.78%
Avocados;2016-07-10;$1.28;$1.24;$1.61;$1.61;$1.66;19.53%
Tomatoes;2016-07-03;$0.32;$1.32;$1.49;$1.47;$1.55;355.47%
Strawberries;2016-07-03;$0.97;$2.50;$1.94;$2.43;$2.99;154.12%
Romaine Lettuce;2016-07-03;$0.55;$1.56;$1.94;$1.34;$1.85;204.09%
Red Leaf Lettuce;2016-07-03;$0.31;$1.48;$1.55;$1.34;$1.66;386.29%
Oranges;2016-07-03;$0.35;$1.35;$1.39;$1.32;$1.84;321.43%
Nectarines;2016-07-03;$0.56;$2.25;$1.66;$1.74;$1.49;218.75%
Iceberg Lettuce;2016-07-03;$0.68;$1.36;$1.44;$1.34;$1.49;106.99%
Honeydews;2016-07-03;$1.13;$3.99;$3.37;$3.66;$3.99;232.08%
Green Leaf Lettuce;2016-07-03;$0.33;$1.48;$1.48;$1.34;$1.51;340.15%
Celery;2016-07-03;$0.39;$1.51;$1.49;$1.94;$1.74;328.21%
Cauliflower;2016-07-03;$0.85;$2.61;$2.81;$2.48;$2.99;220.29%
Carrots;2016-07-03;$0.30;$0.99;$0.90;$0.99;$1.29;247.50%
Cantaloupe;2016-07-03;$0.60;$2.49;$2.17;$2.10;$2.47;284.58%
Broccoli Crowns;2016-07-03;$0.49;$1.74;$1.82;$1.67;$2.00;268.88%
Avocados;2016-07-03;$1.16;$1.24;$1.74;$1.52;$1.59;31.25%
Tomatoes;2016-06-26;$0.36;$1.22;$1.54;$1.47;$1.79;318.06%
Strawberries;2016-06-26;$0.97;$2.75;$2.69;$2.87;$2.61;181.44%
Romaine Lettuce;2016-06-26;$0.65;$1.44;$1.94;$1.34;$1.77;149.62%
Red Leaf Lettuce;2016-06-26;$0.32;$1.32;$1.56;$1.34;$1.73;364.84%
Plums;2016-06-26;$0.78;$1.72;$1.65;$1.99;$1.89;132.37%
Peaches;2016-06-26;$0.52;$2.01;$1.45;$1.62;$1.68;225.00%
Oranges;2016-06-26;$0.35;$1.30;$1.29;$1.32;$1.68;299.29%
Nectarines;2016-06-26;$0.56;$2.30;$1.62;$1.87;$1.74;236.16%
Iceberg Lettuce;2016-06-26;$0.60;$1.36;$1.44;$1.34;$1.49;134.58%
Honeydews;2016-06-26;$1.19;$3.99;$2.74;$3.57;$3.65;193.07%
Green Leaf Lettuce;2016-06-26;$0.34;$1.32;$1.48;$1.34;$1.59;321.32%
Celery;2016-06-26;$0.37;$1.84;$1.54;$1.94;$1.86;385.14%
Cauliflower;2016-06-26;$0.74;$2.61;$3.06;$2.73;$3.61;305.74%
Carrots;2016-06-26;$0.31;$0.95;$0.90;$0.99;$1.07;215.32%
Cantaloupe;2016-06-26;$0.61;$2.44;$2.49;$2.35;$2.74;310.66%
Broccoli Crowns;2016-06-26;$0.46;$1.80;$1.82;$1.67;$1.78;284.24%
Broccoli Bunches;2016-06-26;$0.60;$1.55;$1.33;$1.08;$1.86;142.50%
Avocados;2016-06-26;$1.16;$1.12;$1.48;$1.34;$1.38;14.66%
Tomatoes;2016-06-19;$0.30;$1.22;$1.54;$1.47;$1.79;401.67%
Strawberries;2016-06-19;$1.19;$2.62;$2.94;$1.81;$3.11;120.17%
Romaine Lettuce;2016-06-19;$0.59;$1.31;$1.94;$1.34;$1.86;173.31%
Red Leaf Lettuce;2016-06-19;$0.31;$1.15;$1.56;$1.34;$1.78;370.16%
Oranges;2016-06-19;$0.35;$1.30;$1.26;$1.32;$1.68;297.14%
Iceberg Lettuce;2016-06-19;$0.38;$1.24;$1.44;$1.34;$1.74;278.95%
Honeydews;2016-06-19;$1.04;$3.99;$2.99;$3.57;$3.65;241.35%
Green Leaf Lettuce;2016-06-19;$0.34;$1.15;$1.48;$1.34;$1.63;311.76%
Celery;2016-06-19;$0.32;$1.84;$1.54;$1.94;$1.99;471.09%
Cauliflower;2016-06-19;$0.75;$2.36;$3.06;$2.73;$3.61;292.00%
Carrots;2016-06-19;$0.31;$0.95;$0.90;$0.99;$1.07;215.32%
Cantaloupe;2016-06-19;$0.75;$2.12;$2.37;$1.97;$2.37;194.33%
Broccoli Crowns;2016-06-19;$0.42;$1.77;$1.82;$1.67;$1.58;307.14%
Broccoli Bunches;2016-06-19;$0.62;$1.55;$1.33;$0.83;$1.86;124.60%
Avocados;2016-06-19;$0.95;$1.07;$1.48;$1.34;$1.49;41.58%
Strawberries;2016-06-12;$1.09;$2.62;$2.32;$2.50;$2.99;139.22%
Romaine Lettuce;2016-06-12;$0.62;$1.31;$1.91;$1.34;$2.08;167.74%
Red Leaf Lettuce;2016-06-12;$0.36;$1.15;$1.52;$1.34;$1.89;309.72%
Oranges;2016-06-12;$0.35;$1.30;$1.18;$1.39;$1.97;317.14%
Nectarines;2016-06-12;$0.54;$2.03;$2.11;$1.49;$1.99;252.78%
Iceberg Lettuce;2016-06-12;$0.39;$1.36;$1.44;$1.34;$1.49;260.90%
Honeydews;2016-06-12;$1.00;$2.98;$3.12;$3.20;$3.74;226.00%
Green Leaf Lettuce;2016-06-12;$0.41;$1.15;$1.46;$1.34;$1.73;246.34%
Flame Grapes;2016-06-12;$1.05;$2.61;$2.06;$2.49;$2.99;141.67%
Celery;2016-06-12;$0.30;$1.56;$1.48;$1.94;$1.99;480.83%
Cauliflower;2016-06-12;$0.86;$2.49;$2.93;$2.73;$3.65;243.02%
Carrots;2016-06-12;$0.31;$0.95;$0.90;$0.99;$1.09;216.94%
Cantaloupe;2016-06-12;$0.50;$2.32;$2.74;$2.60;$2.62;414.00%
Broccoli Crowns;2016-06-12;$0.43;$1.74;$1.82;$1.67;$1.73;304.65%
Broccoli Bunches;2016-06-12;$0.68;$1.66;$1.22;$1.08;$1.60;104.41%
Avocados;2016-06-12;$0.83;$1.04;$1.37;$1.33;$1.54;59.04%
Strawberries;2016-06-05;$1.16;$2.62;$1.94;$2.62;$2.61;110.99%
Romaine Lettuce;2016-06-05;$0.60;$1.74;$1.88;$1.39;$1.86;186.25%
Red Leaf Lettuce;2016-06-05;$0.43;$1.32;$1.50;$1.39;$1.78;248.26%
Peaches;2016-06-05;$0.56;$1.59;$1.69;$0.99;$1.99;179.46%
Oranges;2016-06-05;$0.35;$1.30;$1.18;$0.99;$1.72;270.71%
Nectarines;2016-06-05;$0.58;$1.86;$1.69;$0.99;$1.99;181.47%
Iceberg Lettuce;2016-06-05;$0.52;$1.24;$1.19;$1.34;$1.74;164.90%
